date,source,type,titre,resume,url,texte_analyse,theme_principal,tags_secondaires,tous_les_tags
2025-06-13,La Nouvelle Tribune,wordpress,"Sénégal : L'humoriste Mamane à Dakar pour son ""Histoire pas drôle d'Afrique""","Ce vendredi soir, le Grand Théâtre Doudou Ndiaye Coumba Rose accueille une voix singulière du continent : Mamane. Connu pour son humour mordant et engagé, l’humoriste nigérien revient au Sénégal avec un spectacle aussi grinçant que salutaire : “Histoire pas drôle d’Afrique”. Dans une capitale secouée par des débats profonds sur la mémoire, les responsabilités … Continuer la lecture",https://lanouvelletribune.info/2025/06/senegal-lhumoriste-mamane-a-dakar-pour-son-histoire-pas-drole-dafrique/,"Sénégal : L'humoriste Mamane à Dakar pour son ""Histoire pas drôle d'Afrique"". Ce vendredi soir, le Grand Théâtre Doudou Ndiaye Coumba Rose accueille une voix singulière du continent : Mamane. Connu pour son humour mordant et engagé, l’humoriste nigérien revient au Sénégal avec un spectacle aussi grinçant que salutaire : “Histoire pas drôle d’Afrique”. Dans une capitale secouée par des débats profonds sur la mémoire, les responsabilités … Continuer la lecture",diaspora_retour,"gouvernance_institutionnelle, vodun_culture_religieuse, relations_internationales, creation_entreprise, culture_identite, agriculture_agrobusiness, numerique_innovation, foncier_immobilier, opportunites_investissement, infrastructure_energie, fiscalite_reglementation, droits_libertes, environnement_climat, industrie_GDIZ, croissance_economique, sante_education, securite_stabilite, vie_quotidienne","diaspora_retour, gouvernance_institutionnelle, vodun_culture_religieuse, relations_internationales, creation_entreprise, culture_identite, agriculture_agrobusiness, numerique_innovation, foncier_immobilier, opportunites_investissement, infrastructure_energie, fiscalite_reglementation, droits_libertes, environnement_climat, industrie_GDIZ, croissance_economique, sante_education, securite_stabilite, vie_quotidienne"
2025-05-13,Matin Libre,wordpress,Sécurité routière:  Renforcer la sécurité des déplacements à pied et à vélo,"Communiqué de presse Alors que la 8e Semaine mondiale des Nations Unies pour la sécurité routière (en anglais) s’ouvre dans le monde entier sous le thème « Sécurité des déplacements à pied et à vélo », l’Organisation mondiale de la Santé (OMS) a lancé une nouvelle boîte à outils (en anglais) pour aider les gouvernements […]",https://matinlibre.com/2025/05/13/securite-routiere-renforcer-la-securite-des-deplacements-a-pied-et-a-velo/,"Sécurité routière:  Renforcer la sécurité des déplacements à pied et à vélo. Communiqué de presse Alors que la 8e Semaine mondiale des Nations Unies pour la sécurité routière (en anglais) s’ouvre dans le monde entier sous le thème « Sécurité des déplacements à pied et à vélo », l’Organisation mondiale de la Santé (OMS) a lancé une nouvelle boîte à outils (en anglais) pour aider les gouvernements […]",foncier_immobilier,"diaspora_retour, gouvernance_institutionnelle, relations_internationales, industrie_GDIZ","foncier_immobilier, diaspora_retour, gouvernance_institutionnelle, relations_internationales, industrie_GDIZ"
2025-02-24,Le Matinal,wordpress,Afrobasket 2025 : Voici les 16 sélections participantes,"Du 12 au 24 août, l’Angola va vibrer au rythme de l’édition 2025 de la phase finale de l’Afrobasket. Le Cameroun, le Cap-Vert, la Côte d’Ivoire, la République démocratique du Congo, l’Égypte, la Guinée, la Libye, Madagascar, le Mali, le Nigeria, le Rwanda, le Sénégal, le Sud Soudan, la Tunisie, l’Ouganda et bien évidemment le […]",https://lematinal.bj/afrobasket-2025-voici-les-16-selections-participantes/,"Afrobasket 2025 : Voici les 16 sélections participantes. Du 12 au 24 août, l’Angola va vibrer au rythme de l’édition 2025 de la phase finale de l’Afrobasket. Le Cameroun, le Cap-Vert, la Côte d’Ivoire, la République démocratique du Congo, l’Égypte, la Guinée, la Libye, Madagascar, le Mali, le Nigeria, le Rwanda, le Sénégal, le Sud Soudan, la Tunisie, l’Ouganda et bien évidemment le […]",relations_internationales,"opportunites_investissement, diaspora_retour","relations_internationales, opportunites_investissement, diaspora_retour"
2025-08-13,La Nouvelle Tribune,wordpress,"France : agressé, un chef étoilé se fait voler une montre hors de prix","Le chef cuisinier Simone Zanoni, à la tête du prestigieux restaurant méditerranéen du George V à Paris, a été violemment agressé mardi soir devant son domicile au Chesnay (Yvelines). Selon les premiers éléments, deux individus l’ont surpris alors qu’il rentrait chez lui aux alentours de 23 heures, accompagné de sa compagne. Les assaillants, arrivés sur … Continuer la lecture",https://lanouvelletribune.info/2025/08/france-agresse-un-chef-etoile-se-fait-voler-une-montre-hors-de-prix/,"France : agressé, un chef étoilé se fait voler une montre hors de prix. Le chef cuisinier Simone Zanoni, à la tête du prestigieux restaurant méditerranéen du George V à Paris, a été violemment agressé mardi soir devant son domicile au Chesnay (Yvelines). Selon les premiers éléments, deux individus l’ont surpris alors qu’il rentrait chez lui aux alentours de 23 heures, accompagné de sa compagne. Les assaillants, arrivés sur … Continuer la lecture",culture_identite,vie_quotidienne,"culture_identite, vie_quotidienne"
2026-04-09,Le Matinal,wordpress,Balances non certifiées : L’Anm épingle des points de vente dans le Mono-Couffo,"L’Agence nationale de normalisation, de métrologie et du contrôle qualité (Anm) mène, depuis le 8 avril 2026, une opération de contrôle inopinée dans les départements du Mono et du Couffo. Les équipes ont sillonné les villes de Lokossa et d’Aplahoué avec pour objectif de traquer les balances non certifiées utilisées dans les transactions commerciales.Cette descente […]",https://lematinal.bj/balances-non-certifiees-lanm-epingle-des-points-de-vente-dans-le-mono-couffo/,"Balances non certifiées : L’Anm épingle des points de vente dans le Mono-Couffo. L’Agence nationale de normalisation, de métrologie et du contrôle qualité (Anm) mène, depuis le 8 avril 2026, une opération de contrôle inopinée dans les départements du Mono et du Couffo. Les équipes ont sillonné les villes de Lokossa et d’Aplahoué avec pour objectif de traquer les balances non certifiées utilisées dans les transactions commerciales.Cette descente […]",agriculture_agrobusiness,"foncier_immobilier, diaspora_retour, infrastructure_energie, vodun_culture_religieuse","agriculture_agrobusiness, foncier_immobilier, diaspora_retour, infrastructure_energie, vodun_culture_religieuse"
2025-07-22,Le Matinal,wordpress,"Coup de filet à Hêvié : 02 cambrioleurs arrêtés, des motos et du matériel électroménager saisis","Dans le cadre d’une enquête ouverte pour vol avec effraction, le commissariat de l’arrondissement de Hêvié a procédé, le dimanche 20 juillet 2025, à l’interpellation de deux individus présumés auteurs d’un cambriolage. Les faits remontent au vendredi 18 juillet 2025. Ce jour-là, après avoir fracturé la porte du domicile d’un ouvrier à Hêvié Houinmin, les […]",https://lematinal.bj/coup-de-filet-a-hevie-02-cambrioleurs-arretes-des-motos-et-du-materiel-electromenager-saisis/,"Coup de filet à Hêvié : 02 cambrioleurs arrêtés, des motos et du matériel électroménager saisis. Dans le cadre d’une enquête ouverte pour vol avec effraction, le commissariat de l’arrondissement de Hêvié a procédé, le dimanche 20 juillet 2025, à l’interpellation de deux individus présumés auteurs d’un cambriolage. Les faits remontent au vendredi 18 juillet 2025. Ce jour-là, après avoir fracturé la porte du domicile d’un ouvrier à Hêvié Houinmin, les […]",agriculture_agrobusiness,"foncier_immobilier, infrastructure_energie, croissance_economique, numerique_innovation, fiscalite_reglementation, gouvernance_institutionnelle, vie_quotidienne, vodun_culture_religieuse, creation_entreprise, diaspora_retour, culture_identite, opportunites_investissement, industrie_GDIZ, relations_internationales, securite_stabilite","agriculture_agrobusiness, foncier_immobilier, infrastructure_energie, croissance_economique, numerique_innovation, fiscalite_reglementation, gouvernance_institutionnelle, vie_quotidienne, vodun_culture_religieuse, creation_entreprise, diaspora_retour, culture_identite, opportunites_investissement, industrie_GDIZ, relations_internationales, securite_stabilite"
2025-10-13,Matin Libre,wordpress,Tanguiéta: Découverte du corps sans vie d’un enseignant dans sa chambre,"Le corps sans vie d’un enseignant, a été découvert, dans sa chambre, le samedi 11 Octobre 2025. La découverte a été faite, dans sa chambre à Goro-Bani, une localité de la commune de Tanguiéta, dans le département de l’Atacora, informe le site d’information de radio Fraternité Fm, qui a repris DBMedias. La victime est un […]",https://matinlibre.com/2025/10/13/tanguieta-decouverte-du-corps-sans-vie-dun-enseignant-dans-sa-chambre/,"Tanguiéta: Découverte du corps sans vie d’un enseignant dans sa chambre. Le corps sans vie d’un enseignant, a été découvert, dans sa chambre, le samedi 11 Octobre 2025. La découverte a été faite, dans sa chambre à Goro-Bani, une localité de la commune de Tanguiéta, dans le département de l’Atacora, informe le site d’information de radio Fraternité Fm, qui a repris DBMedias. La victime est un […]",culture_identite,"fiscalite_reglementation, relations_internationales, agriculture_agrobusiness, diaspora_retour, creation_entreprise, vodun_culture_religieuse, opportunites_investissement, sante_education, numerique_innovation, gouvernance_institutionnelle, infrastructure_energie, croissance_economique, securite_stabilite, industrie_GDIZ, vie_quotidienne, droits_libertes, foncier_immobilier, environnement_climat, tourisme","culture_identite, fiscalite_reglementation, relations_internationales, agriculture_agrobusiness, diaspora_retour, creation_entreprise, vodun_culture_religieuse, opportunites_investissement, sante_education, numerique_innovation, gouvernance_institutionnelle, infrastructure_energie, croissance_economique, securite_stabilite, industrie_GDIZ, vie_quotidienne, droits_libertes, foncier_immobilier, environnement_climat, tourisme"
2026-05-10,La Nouvelle Tribune,wordpress,Mondial féminin U20 2026 : le Bénin décroche une qualification historique,"Les Amazones U20 du Bénin ont validé leur ticket pour la Coupe du Monde Féminine U20 de la FIFA ce dimanche 10 mai 2026, au stade de Kégué de Lomé. Face à la Côte d’Ivoire dans le match retour du quatrième et dernier tour des éliminatoires africaines, les joueuses du sélectionneur Abdoulaye Ouzérou ont dominé … Continuer la lecture",https://lanouvelletribune.info/2026/05/mondial-feminin-u20-2026-le-benin-decroche-une-qualification-historique/,"Mondial féminin U20 2026 : le Bénin décroche une qualification historique. Les Amazones U20 du Bénin ont validé leur ticket pour la Coupe du Monde Féminine U20 de la FIFA ce dimanche 10 mai 2026, au stade de Kégué de Lomé. Face à la Côte d’Ivoire dans le match retour du quatrième et dernier tour des éliminatoires africaines, les joueuses du sélectionneur Abdoulaye Ouzérou ont dominé … Continuer la lecture",diaspora_retour,"creation_entreprise, opportunites_investissement, agriculture_agrobusiness, relations_internationales, numerique_innovation, foncier_immobilier, infrastructure_energie, fiscalite_reglementation, gouvernance_institutionnelle, croissance_economique, culture_identite, vodun_culture_religieuse, securite_stabilite, sante_education","diaspora_retour, creation_entreprise, opportunites_investissement, agriculture_agrobusiness, relations_internationales, numerique_innovation, foncier_immobilier, infrastructure_energie, fiscalite_reglementation, gouvernance_institutionnelle, croissance_economique, culture_identite, vodun_culture_religieuse, securite_stabilite, sante_education"
2026-05-11,La Nouvelle Tribune,wordpress,Cristiano Ronaldo a une certitude sur l'avenir de Kylian Mbappé,"Le nom de Kylian Mbappé continue d’alimenter les débats en Espagne. Ces derniers jours, plusieurs médias sportifs et émissions de télévision ont relayé les critiques visant l’attaquant français après sa saison compliquée du Real Madrid. Malgré ce contexte tendu, Cristiano Ronaldo a affiché son soutien au capitaine des Bleus. La star estime que l’arrivée de … Continuer la lecture",https://lanouvelletribune.info/2026/05/cristiano-ronaldo-a-une-certitude-sur-lavenir-de-kylian-mbappe/,"Cristiano Ronaldo a une certitude sur l'avenir de Kylian Mbappé. Le nom de Kylian Mbappé continue d’alimenter les débats en Espagne. Ces derniers jours, plusieurs médias sportifs et émissions de télévision ont relayé les critiques visant l’attaquant français après sa saison compliquée du Real Madrid. Malgré ce contexte tendu, Cristiano Ronaldo a affiché son soutien au capitaine des Bleus. La star estime que l’arrivée de … Continuer la lecture",relations_internationales,"agriculture_agrobusiness, fiscalite_reglementation, infrastructure_energie, creation_entreprise, numerique_innovation, foncier_immobilier, opportunites_investissement, industrie_GDIZ, diaspora_retour, culture_identite, vodun_culture_religieuse, gouvernance_institutionnelle, droits_libertes, sante_education, croissance_economique, vie_quotidienne, environnement_climat","relations_internationales, agriculture_agrobusiness, fiscalite_reglementation, infrastructure_energie, creation_entreprise, numerique_innovation, foncier_immobilier, opportunites_investissement, industrie_GDIZ, diaspora_retour, culture_identite, vodun_culture_religieuse, gouvernance_institutionnelle, droits_libertes, sante_education, croissance_economique, vie_quotidienne, environnement_climat"
2026-04-07,Le Matinal,wordpress,Ouidah Blue Festival : L’Anpe déploie des volontaires pour accompagner l’événement,"Après une première mobilisation réussie lors des Vodun Days en janvier dernier, l’Agence nationale pour l’emploi (Anpe) a de nouveau déployé ses volontaires à l’occasion du Ouidah Blue Festival, tenu du 3 au 6 avril 2026 sur la plage de Ouidah. Dans un contexte de transformation du Bénin et de valorisation touristique de Ouidah, ces […]",https://lematinal.bj/ouidah-blue-festival-lanpe-deploie-des-volontaires-pour-accompagner-levenement/,"Ouidah Blue Festival : L’Anpe déploie des volontaires pour accompagner l’événement. Après une première mobilisation réussie lors des Vodun Days en janvier dernier, l’Agence nationale pour l’emploi (Anpe) a de nouveau déployé ses volontaires à l’occasion du Ouidah Blue Festival, tenu du 3 au 6 avril 2026 sur la plage de Ouidah. Dans un contexte de transformation du Bénin et de valorisation touristique de Ouidah, ces […]",tourisme,"vodun_culture_religieuse, agriculture_agrobusiness, creation_entreprise, opportunites_investissement, croissance_economique, numerique_innovation, gouvernance_institutionnelle","tourisme, vodun_culture_religieuse, agriculture_agrobusiness, creation_entreprise, opportunites_investissement, croissance_economique, numerique_innovation, gouvernance_institutionnelle"
2026-01-28,La Nouvelle Tribune,wordpress,La CAN 2025 a enregistré 6 milliards de vues cumulées sur les réseaux sociaux,"L’édition 2024 de la Coupe d’Afrique des Nations en Côte d’Ivoire avait déjà marqué les esprits avec 3,1 milliards de vues sur TikTok et 2,1 milliards d’engagements numériques au total. Un an plus tard, le Maroc vient de pulvériser ces statistiques. L’édition 2025 franchit un palier inédit qui repositionne le football africain au sommet de … Continuer la lecture",https://lanouvelletribune.info/2026/01/la-can-2025-a-enregistre-6-milliards-de-vues-cumulees-sur-les-reseaux-sociaux/,"La CAN 2025 a enregistré 6 milliards de vues cumulées sur les réseaux sociaux. L’édition 2024 de la Coupe d’Afrique des Nations en Côte d’Ivoire avait déjà marqué les esprits avec 3,1 milliards de vues sur TikTok et 2,1 milliards d’engagements numériques au total. Un an plus tard, le Maroc vient de pulvériser ces statistiques. L’édition 2025 franchit un palier inédit qui repositionne le football africain au sommet de … Continuer la lecture",numerique_innovation,,numerique_innovation
2026-01-20,Matin Libre,wordpress,Pour présumé transport et commercialisation de substances psychotropes: Un individu suspect interpellé à Malanville,"Un individu a été interpelé, le vendredi 16 janvier 2026, par les forces de sécurité, du commissariat frontalier de Malanville. Ce dernier a été interpellé pour transport et commercialisation de substances psychotropes. Son interpellation s’inscrit dans le cadre de la lutte contre le trafic de produits prohibés. Des boules et plaquettes de chanvre indien, une […]",https://matinlibre.com/2026/01/20/pour-presume-transport-et-commercialisation-de-substances-psychotropes-un-individu-suspect-interpelle-a-malanville/,"Pour présumé transport et commercialisation de substances psychotropes: Un individu suspect interpellé à Malanville. Un individu a été interpelé, le vendredi 16 janvier 2026, par les forces de sécurité, du commissariat frontalier de Malanville. Ce dernier a été interpellé pour transport et commercialisation de substances psychotropes. Son interpellation s’inscrit dans le cadre de la lutte contre le trafic de produits prohibés. Des boules et plaquettes de chanvre indien, une […]",securite_stabilite,"diaspora_retour, industrie_GDIZ, vodun_culture_religieuse, numerique_innovation, culture_identite, vie_quotidienne, creation_entreprise, droits_libertes, opportunites_investissement","securite_stabilite, diaspora_retour, industrie_GDIZ, vodun_culture_religieuse, numerique_innovation, culture_identite, vie_quotidienne, creation_entreprise, droits_libertes, opportunites_investissement"
