SQLDATE,date,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,EventCode,EventLabel,QuadClass,GoldsteinScale,NumMentions,NumArticles,AvgTone,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,SourceDomain,GKG_Themes,GKG_NumThemes,GKG_Persons,GKG_NumPersons,GKG_Organizations,GKG_NumOrgs,GKG_V2Tone_Positive,GKG_V2Tone_Negative,GKG_V2Tone_Polarity,GKG_V2Tone_ActivityDensity,GKG_V2Tone_SelfGroupDensity,GKG_V2Tone_WordCount,GCAM_Anger,GCAM_Fear,GCAM_Joy,GCAM_Sadness,GCAM_Trust,GCAM_Surprise,GCAM_DominantEmotion,GKG_DocumentIdentifier,GKG_HasImage,GKG_Language,GKG_IsTranslated,QuadLabel,IsConflict,IsNegative,MediaWeight,ZoneBenin,DepartementBenin,PopulationVille,IsNorthBenin,SourceType,GoldsteinNorm,ToneNorm,month,GKG_ThemeConflict,GKG_ThemeEconomy,GKG_ThemeGovern,GKG_ThemeHumanDev,GKG_ThemeEnviro,GKG_ToneGap,GKG_EmotionIntensity,ToneCategory,GoldsteinBin
20250228,2025-02-28,Gouvernement du Benin,BN,Patronat beninois (CNP),BN,010,Declaration publique,1,2.18,4,3,3.34,Aplahoue,BN,6.93,1.68,fraternite.bj,ENERGIE_ELECTRIFICATION,1,Nicephore Soglo,1,Ministere des Finances (MEF),1,0.98,1.03,2.01,3.89,0.07,2364,2.295,0.189,0.269,0.135,2.43,0.831,Trust,https://fraternite.bj/article/evt-62879,1,fra,0,Cooperation verbale,0,0,12,Sud,Couffo,171000,0,Presse en ligne,0.609,0.5835,2025-02,0,0,0,1,0,-0.05,6.149,Positif,Neutre
20251002,2025-10-02,Parti Union Progressiste,BN,Syndicat enseignants (COSI),BN,172,Arrestation,4,-4.35,20,4,-9.78,Bohicon,BN,7.1824,2.066,leconomistebenin.com,PECHE;INONDATIONS;ECONOMY;EPU_POLICY_UNCERTAINTY;POLITICS,5,,0,Chambre de Commerce Benin,1,0.83,17.51,18.34,0.26,0.81,1182,10.501,0.032,0.206,1.353,1.505,0.168,Anger,https://leconomistebenin.com/evt-91462,1,fra,0,Conflit materiel,1,1,80,Centre,Zou,172000,0,Presse economique,0.2825,0.2555,2025-10,0,1,1,0,1,-16.68,13.765,Tres negatif,Destabilisant
20250916,2025-09-16,Parti Bloc Republicain,BN,Parti Bloc Republicain,BN,120,Menace,3,-7.18,8,3,-8.69,Djougou,BN,9.7082,1.6599,lanouvelletribune.bj,TAX_POLITICAL_PARTY,1,,0,INSAE (Statistiques),1,1.18,2.97,4.15,4.26,0.56,267,2.365,1.341,0.029,0.333,1.908,0.05,Anger,https://lanouvelletribune.bj/benin/evt-45053,1,fra,0,Conflit verbal,1,1,24,Nord,Donga,267000,1,Presse en ligne,0.141,0.2828,2025-09,0,0,1,0,0,-1.79,6.026,Tres negatif,Tres destabilisant
20250720,2025-07-20,Mairie / Elus locaux,BN,Syndicat enseignants (COSI),BN,020,Appel action,1,4.54,4,1,1.96,Parakou,BN,9.337,2.6282,ortb.bj,CLIMATE;POLITICS;RELIGION_VODOUN;POVERTY,4,Benjamin Hounkpatin;Samou Seidou Adambi;Claudine Prudencio,3,API (Invest. Benin);Parti du Renouveau Democratique,2,0.64,0.41,1.05,10.33,0.12,2469,0.749,0.347,0.119,0.018,0.79,0.163,Trust,https://ortb.bj/actualite/evt-74350,1,fra,0,Cooperation verbale,0,0,4,Nord,Borgou,255000,1,Media public,0.727,0.549,2025-07,0,0,1,1,1,0.23,2.186,Neutre,Stabilisant
20251022,2025-10-22,Presidence de la Republique,BN,Syndicat enseignants (COSI),BN,020,Appel action,1,1.03,7,4,-0.96,Malanville,BN,11.868,3.3836,lavoixdubenin.com,COMMERCE_NIGERIA;TOURISME_BENIN;DEMOCRACY,3,Mathys Adidjatou,1,SBEE (Electricite);Universite de Parakou,2,0.83,1.12,1.95,3.32,0.76,1779,0.394,0.035,5.105,0.487,6.582,0.679,Trust,https://lavoixdubenin.com/evt-73098,0,fra,0,Cooperation verbale,0,1,28,Nord,Alibori,168000,1,Presse en ligne,0.5515,0.476,2025-10,0,1,1,0,0,-0.29,13.282,Neutre,Neutre
20251118,2025-11-18,Armee beninoise (FAB),BN,Etudiants / UAC,BN,020,Appel action,1,3.95,7,2,2.4,Ketou,BN,7.36,2.6,matinlibre.com,PATRIMOINE_UNESCO;POLITICS,2,Adrien Houngbedji,1,,0,3.77,0.01,3.78,2.03,0.89,1898,0.361,1.245,2.645,0.092,11.373,0.001,Trust,https://matinlibre.com/2025/evt-87517,0,fra,0,Cooperation verbale,0,0,14,Sud,Plateau,136000,0,Presse en ligne,0.6975,0.56,2025-11,0,0,1,0,0,3.76,15.717,Positif,Stabilisant
20251125,2025-11-25,Mairie / Elus locaux,BN,Mairie / Elus locaux,BN,036,Critique politique,1,4.88,2,3,4.97,Kandi,BN,11.134,2.9394,matinlibre.com,ECONOMY,1,,0,CNSS (Securite sociale),1,5.45,0.24,5.69,8.71,0.81,1917,0.595,0.007,1.049,0.137,7.54,1.292,Trust,https://matinlibre.com/2025/evt-74762,1,fra,0,Cooperation verbale,0,0,6,Nord,Alibori,179000,1,Presse en ligne,0.744,0.6242,2025-11,0,1,0,0,0,5.21,10.62,Positif,Stabilisant
20251011,2025-10-11,Medias beninois,BN,Gouvernement du Benin,BN,057,Signature accord,2,2.08,13,7,0.55,Djougou,BN,9.7082,1.6599,leconomistebenin.com,HEALTH;DEMOCRACY;PATRIMOINE_UNESCO;DECENTRALISATION;DEFORESTATION,5,Romuald Wadagni;Razack Adeoti;Benjamin Hounkpatin,3,,0,2.04,0.95,2.99,4.42,1.84,1612,0.614,0.568,1.416,1.038,0.796,0.667,Joy,https://leconomistebenin.com/evt-29585,1,fra,0,Cooperation materielle,0,0,91,Nord,Donga,267000,1,Presse economique,0.604,0.5138,2025-10,0,0,1,1,1,1.09,5.099,Neutre,Neutre
20250625,2025-06-25,Mairie / Elus locaux,BN,Assemblee Nationale,BN,043,Reception officielle,1,0.51,4,8,-0.41,Natitingou,BN,10.308,1.3784,matinlibre.com,RELIGION_VODOUN;MIGRATION;FOOD_SECURITY;DEMOCRACY;COMMERCE_NIGERIA,5,Joel Aivo,1,Union Progressiste (UP);ORTB (Radio-Television),2,4.64,0.49,5.13,1.06,1.63,878,0.911,1.809,0.274,0.614,0.955,2.59,Surprise,https://matinlibre.com/2025/evt-45924,1,fra,0,Cooperation verbale,0,1,32,Nord,Atacora,104000,1,Presse en ligne,0.5255,0.4898,2025-06,1,1,1,0,1,4.15,7.153,Neutre,Neutre
20250408,2025-04-08,Autorites traditionnelles,BN,Assemblee Nationale,BN,036,Critique politique,1,4.34,5,2,1.37,Tchaourou,BN,8.89,2.59,matinlibre.com,PATRIMOINE_UNESCO;TOURISME_BENIN,2,Candide Azannaï,1,,0,9.76,0.04,9.8,2.44,0.96,125,0.131,0.648,1.329,1.228,0.729,0.966,Joy,https://matinlibre.com/2025/evt-79217,1,fra,0,Cooperation verbale,0,0,10,Nord,Borgou,220000,1,Presse en ligne,0.717,0.5342,2025-04,0,1,0,0,0,9.72,5.031,Neutre,Stabilisant
20251215,2025-12-15,Cour Constitutionnelle,BN,Medias beninois,BN,061,Aide economique,2,4.33,15,17,1.28,Kandi,BN,11.134,2.9394,fraternite.bj,PATRIMOINE_UNESCO;PALUDISME;FRONTIERE_NORD;PROTEST,4,Moele-Benin,1,,0,0.77,0.59,1.36,4.15,0.42,2561,0.29,0.164,8.764,0.165,0.414,2.043,Joy,https://fraternite.bj/article/evt-98314,1,fra,0,Cooperation materielle,0,0,255,Nord,Alibori,179000,1,Presse en ligne,0.7165,0.532,2025-12,1,0,0,1,0,0.18,11.84,Neutre,Stabilisant
20250701,2025-07-01,Syndicat enseignants (COSI),BN,Syndicat enseignants (COSI),BN,012,Decl. de soutien,1,-0.52,3,4,1.0,Aplahoue,BN,6.93,1.68,fraternite.bj,SECURITY;ENERGIE_ELECTRIFICATION;COTON_FILIERE;PATRIMOINE_UNESCO,4,Romuald Wadagni;Alassane Seidou;Sebastien Ajavon,3,SBEE (Electricite),1,2.21,9.24,11.45,2.05,1.07,2194,0.139,0.722,2.051,1.264,0.697,1.853,Joy,https://fraternite.bj/article/evt-21373,1,fra,0,Cooperation verbale,0,0,12,Sud,Couffo,171000,0,Presse en ligne,0.474,0.525,2025-07,1,1,0,1,0,-7.03,6.726,Neutre,Leg. negatif
20250929,2025-09-29,Gouvernement du Benin,BN,Gouvernement du Benin,BN,036,Critique politique,1,1.8,6,5,4.89,Come,BN,6.4,1.88,lavoixdubenin.com,ECONOMY;ZONE_FRANCHE,2,,0,Cour Constitutionnelle du Benin;Ministere des Finances (MEF),2,0.05,1.03,1.08,1.21,0.55,2839,0.662,0.267,1.889,0.015,0.268,0.263,Joy,https://lavoixdubenin.com/evt-12250,0,fra,0,Cooperation verbale,0,0,30,Sud,Mono,73000,0,Presse en ligne,0.59,0.6222,2025-09,0,1,0,0,0,-0.98,3.364,Positif,Neutre
20250204,2025-02-04,Parti Forces Cauris,BN,Assemblee Nationale,BN,040,Consultation diplomatique,1,3.44,3,7,2.41,Abomey-Calavi,BN,6.4484,2.3552,ortb.bj,EDUCATION;INFRASTRUCTURE;POLITICS,3,Adrien Houngbedji;Joseph Djogbenou;Louis Vlavonou,3,,0,2.12,0.32,2.44,0.7,1.38,1498,0.256,0.039,1.582,0.196,0.136,0.966,Joy,https://ortb.bj/actualite/evt-91189,0,fra,0,Cooperation verbale,0,0,21,Sud,Atlantique,757000,0,Media public,0.672,0.5602,2025-02,0,1,1,1,0,1.8,3.175,Positif,Stabilisant
20251127,2025-11-27,Medias beninois,BN,Cour Constitutionnelle,BN,050,Appel cooperation,1,3.55,4,5,5.94,Parakou,BN,9.337,2.6282,fraternite.bj,INFRASTRUCTURE;PATRIMOINE_UNESCO,2,Razack Adeoti,1,,0,7.7,0.15,7.85,3.67,1.82,1127,0.839,0.416,15.0,0.105,0.668,0.502,Joy,https://fraternite.bj/article/evt-15390,1,fra,0,Cooperation verbale,0,0,20,Nord,Borgou,255000,1,Presse en ligne,0.6775,0.6485,2025-11,0,1,0,0,0,7.55,17.53,Tres positif,Stabilisant
20251229,2025-12-29,Cour Constitutionnelle,BN,Cour Constitutionnelle,BN,110,Rejet/opposition,3,-2.67,14,2,-1.49,Abomey-Calavi,BN,6.4484,2.3552,beninwebtv.com,SECURITY;DEMOCRACY;TERRORISM,3,Adrien Houngbedji;Mariam Chabi Talata;Mathys Adidjatou,3,,0,0.03,1.6,1.63,4.29,0.18,2822,1.404,1.715,0.282,0.722,2.725,0.175,Trust,https://beninwebtv.com/2025/12/29/evt-76892,0,fra,0,Conflit verbal,1,1,28,Sud,Atlantique,757000,0,Web TV,0.3665,0.4628,2025-12,1,0,1,0,0,-1.57,7.023,Neutre,Leg. negatif
20250328,2025-03-28,Syndicat enseignants (COSI),BN,Mairie / Elus locaux,BN,020,Appel action,1,0.08,23,2,2.7,Aplahoue,BN,6.93,1.68,beninrevele.bj,AGRICULTURE;TERRORISM;PIRACY_GOLFE_GUINEE,3,Razack Adeoti;Boni Yayi,2,Bloc Republicain (BR),1,3.3,0.65,3.95,4.21,0.7,2246,0.16,1.107,3.496,0.6,7.177,2.103,Trust,https://beninrevele.bj/actualite/evt-55476,1,fra,0,Cooperation verbale,0,0,46,Sud,Couffo,171000,0,Site gouv.,0.504,0.5675,2025-03,1,0,0,0,1,2.65,14.643,Positif,Neutre
20250607,2025-06-07,Syndicat UNSTB,BN,Societe civile,BN,057,Signature accord,2,5.14,8,11,7.25,Parakou,BN,9.337,2.6282,lanouvelletribune.bj,ENERGIE_ELECTRIFICATION;INFRASTRUCTURE,2,,0,ORTB (Radio-Television),1,11.88,3.98,15.86,0.06,0.35,2430,0.167,0.404,0.219,1.329,1.292,0.344,Sadness,https://lanouvelletribune.bj/benin/evt-49086,1,fra,0,Cooperation materielle,0,0,88,Nord,Borgou,255000,1,Presse en ligne,0.757,0.6812,2025-06,0,1,0,1,0,7.9,3.755,Tres positif,Stabilisant
20251121,2025-11-21,Assemblee Nationale,BN,Presidence de la Republique,BN,061,Aide economique,2,2.18,11,5,2.66,Lokossa,BN,6.6392,1.7153,matinlibre.com,EDUCATION;POVERTY,2,,0,Presidence du Benin;Forces Cauris (FCBE),2,7.93,2.41,10.34,1.77,1.41,2728,0.226,1.015,4.928,0.846,2.351,0.019,Joy,https://matinlibre.com/2025/evt-44842,0,fra,0,Cooperation materielle,0,0,55,Sud,Mono,105000,0,Presse en ligne,0.609,0.5665,2025-11,0,0,0,1,0,5.52,9.385,Positif,Neutre
20250426,2025-04-26,Etudiants / UAC,BN,Etudiants / UAC,BN,010,Declaration publique,1,1.64,8,1,1.16,Come,BN,6.4,1.88,beninrevele.bj,ZONE_FRANCHE;FRONTIERE_NORD;POLITICS,3,Joseph Djogbenou;Mathys Adidjatou,2,Police Republicaine du Benin;Forces Cauris (FCBE),2,0.34,0.87,1.21,2.75,0.19,2810,0.041,0.146,0.914,0.059,2.874,0.143,Trust,https://beninrevele.bj/actualite/evt-19152,1,fra,0,Cooperation verbale,0,0,8,Sud,Mono,73000,0,Site gouv.,0.582,0.529,2025-04,1,1,1,0,0,-0.53,4.177,Neutre,Neutre
20250108,2025-01-08,Parti Forces Cauris,BN,Presidence de la Republique,BN,061,Aide economique,2,0.82,8,4,-0.55,Abomey-Calavi,BN,6.4484,2.3552,beninrevele.bj,EPU_POLICY_UNCERTAINTY;TERRORISM,2,,0,,0,1.98,1.86,3.84,3.12,0.42,1738,0.051,0.015,0.433,0.192,9.198,0.536,Trust,https://beninrevele.bj/actualite/evt-22645,0,fra,0,Cooperation materielle,0,1,32,Sud,Atlantique,757000,0,Site gouv.,0.541,0.4862,2025-01,1,0,0,0,0,0.12,10.425,Neutre,Neutre
20250417,2025-04-17,Presidence de la Republique,BN,Parti Union Progressiste,BN,012,Decl. de soutien,1,1.6,7,2,-0.34,Djougou,BN,9.7082,1.6599,matinlibre.com,DEMOCRACY;EDUCATION,2,,0,,0,3.63,0.3,3.93,3.47,0.62,2559,1.2,0.47,0.312,0.355,0.721,0.862,Anger,https://matinlibre.com/2025/evt-42446,1,fra,0,Cooperation verbale,0,1,14,Nord,Donga,267000,1,Presse en ligne,0.58,0.4915,2025-04,0,0,1,1,0,3.33,3.92,Neutre,Neutre
20250417,2025-04-17,Etudiants / UAC,BN,Parti Bloc Republicain,BN,010,Declaration publique,1,-1.15,7,2,0.76,Parakou,BN,9.337,2.6282,matinlibre.com,ENERGIE_ELECTRIFICATION;FOOD_SECURITY;CLIMATE;EAU_ASSAINISSEMENT;TOURISME_BENIN,5,Abdoulaye Bio Tchane,1,,0,0.6,0.54,1.14,4.62,0.83,2965,0.122,0.322,1.083,0.038,4.639,4.009,Trust,https://matinlibre.com/2025/evt-19157,1,fra,0,Cooperation verbale,0,0,14,Nord,Borgou,255000,1,Presse en ligne,0.4425,0.519,2025-04,1,1,0,1,1,0.06,10.213,Neutre,Leg. negatif
20250424,2025-04-24,Parti Bloc Republicain,BN,Paysans / Producteurs coton,BN,170,Coercition,4,-4.74,14,6,0.47,Cotonou,BN,6.3654,2.4183,fraternite.bj,POVERTY;SECURITY;POLITICS;PORT_COTONOU;PIRACY_GOLFE_GUINEE,5,Yvon Detegnon,1,ABeGIEF (Gestion Immob.),1,2.54,0.21,2.75,5.92,0.61,1607,0.293,0.278,0.185,0.521,0.817,0.177,Trust,https://fraternite.bj/article/evt-36432,0,fra,0,Conflit materiel,1,0,84,Sud,Littoral,679000,0,Presse en ligne,0.263,0.5117,2025-04,1,1,1,1,0,2.33,2.271,Neutre,Destabilisant
20250110,2025-01-10,Syndicat UNSTB,BN,Gouvernement du Benin,BN,172,Arrestation,4,-0.42,7,3,-3.06,Come,BN,6.4,1.88,lanouvelletribune.bj,YOUTH;ENERGIE_ELECTRIFICATION,2,Nicephore Soglo;Benjamin Hounkpatin;Moele-Benin,3,Port Autonome de Cotonou (PAC),1,0.63,6.69,7.32,2.02,0.23,987,0.571,0.046,0.126,0.515,0.478,0.082,Anger,https://lanouvelletribune.bj/benin/evt-41919,1,fra,0,Conflit materiel,1,1,21,Sud,Mono,73000,0,Presse en ligne,0.479,0.4235,2025-01,0,0,0,1,0,-6.06,1.818,Negatif,Leg. negatif
20251011,2025-10-11,Armee beninoise (FAB),BN,Parti Bloc Republicain,BN,112,Refus requete,3,-1.55,4,6,-8.72,Cotonou,BN,6.3654,2.4183,gouv.bj,UNIVERSITE_ABOMEY_CALAVI,1,,0,INSAE (Statistiques);ORTB (Radio-Television),2,4.36,1.72,6.08,0.5,1.09,2169,0.229,1.18,0.014,1.633,0.109,0.114,Sadness,https://www.gouv.bj/actualite/evt-61819,1,fra,0,Conflit verbal,1,1,24,Sud,Littoral,679000,0,Officiel,0.4225,0.282,2025-10,0,0,0,1,0,2.64,3.279,Tres negatif,Leg. negatif
20250301,2025-03-01,Parti Bloc Republicain,BN,Presidence de la Republique,BN,036,Critique politique,1,0.03,8,5,-5.02,Abomey-Calavi,BN,6.4484,2.3552,lanouvelletribune.bj,UNIVERSITE_ABOMEY_CALAVI;COMMERCE_NIGERIA;EDUCATION;ZONE_FRANCHE,4,,0,,0,6.18,1.69,7.87,3.22,0.09,501,0.023,0.087,0.43,0.406,1.866,0.761,Trust,https://lanouvelletribune.bj/benin/evt-19137,0,fra,0,Cooperation verbale,0,1,40,Sud,Atlantique,757000,0,Presse en ligne,0.5015,0.3745,2025-03,0,1,0,1,0,4.49,3.573,Tres negatif,Neutre
20250923,2025-09-23,Medias beninois,BN,Societe civile,BN,011,Decl. optimiste,1,3.92,13,1,4.99,Dogbo,BN,6.8,1.78,lanouvelletribune.bj,EPU_POLICY_UNCERTAINTY;DIASPORA_BENIN;EDUCATION;ENERGIE_ELECTRIFICATION;COTON_FILIERE,5,,0,Chambre de Commerce Benin;SBEE (Electricite),2,5.07,1.25,6.32,3.57,4.56,132,0.757,0.024,0.417,0.307,2.809,7.809,Surprise,https://lanouvelletribune.bj/benin/evt-65601,0,fra,0,Cooperation verbale,0,0,13,Sud,Couffo,103000,0,Presse en ligne,0.696,0.6248,2025-09,0,1,0,1,0,3.82,12.123,Positif,Stabilisant
20250412,2025-04-12,Police Republicaine,BN,Parti Bloc Republicain,BN,071,Aide humanitaire,2,1.72,9,3,-2.92,Abomey-Calavi,BN,6.4484,2.3552,beninwebtv.com,PORT_COTONOU;HUMAN_RIGHTS;EPU_POLICY_UNCERTAINTY;PECHE;EDUCATION,5,,0,Presidence du Benin,1,4.41,1.11,5.52,0.4,0.1,1632,0.218,0.28,11.973,0.457,1.348,0.067,Joy,https://beninwebtv.com/2025/04/12/evt-36763,1,fra,0,Cooperation materielle,0,1,27,Sud,Atlantique,757000,0,Web TV,0.586,0.427,2025-04,0,1,0,1,1,3.3,14.343,Negatif,Neutre
20250304,2025-03-04,Parti Bloc Republicain,BN,Presidence de la Republique,BN,050,Appel cooperation,1,0.42,10,3,2.26,Pobe,BN,6.98,2.66,beninrevele.bj,TOURISME_BENIN;COMMERCE_NIGERIA;ELECTION;MEDIA_LIBERTE_PRESSE;HEALTH,5,Adrien Houngbedji,1,Universite de Parakou;Forces Cauris (FCBE),2,5.38,1.04,6.42,0.93,1.57,2129,0.945,0.28,6.51,0.338,5.943,0.203,Joy,https://beninrevele.bj/actualite/evt-94410,0,fra,0,Cooperation verbale,0,0,30,Sud,Plateau,123000,0,Site gouv.,0.521,0.5565,2025-03,0,1,1,1,0,4.34,14.219,Positif,Neutre
20250624,2025-06-24,Gouvernement du Benin,BN,Etudiants / UAC,BN,011,Decl. optimiste,1,2.26,6,2,2.16,Sakete,BN,6.74,2.66,fraternite.bj,GENDER;REFORME_CONSTITUTIONNELLE;ZONE_FRANCHE;CORRUPTION;PROTEST,5,,0,ABeGIEF (Gestion Immob.),1,3.15,0.57,3.72,0.02,0.79,1349,0.106,0.1,1.984,0.225,0.163,0.037,Joy,https://fraternite.bj/article/evt-37390,1,fra,0,Cooperation verbale,0,0,12,Sud,Plateau,113000,0,Presse en ligne,0.613,0.554,2025-06,1,1,1,1,0,2.58,2.615,Positif,Neutre
